Speed,instance,QS phase,intercept,stiffness,MSE,R2,inverted
Subject3,1.091213,DP,0.762,2.669,0.002,0.987,False
Subject3,1.2146649999999999,CP,-0.013,-0.609,0.0,0.77,False
Subject3,1.2146649999999999,ERP,0.214,3.104,0.003,0.937,False
Subject3,1.2146649999999999,LRP,-0.017,5.541,0.0,0.996,False
Subject3,1.2146649999999999,DP,0.591,3.097,0.002,0.992,False
Subject3,1.262133,CP,-0.024,-0.497,0.0,0.644,False
Subject3,1.262133,ERP,0.332,3.388,0.002,0.974,False
Subject3,1.262133,LRP,0.285,4.389,0.0,0.98,False
Subject3,1.262133,DP,0.82,2.919,0.004,0.98,False
Subject4,0.886965,CP,-0.017,-0.145,0.0,0.338,False
Subject4,0.886965,ERP,0.101,2.122,0.0,0.986,False
Subject4,0.886965,LRP,0.019,3.627,0.001,0.985,False
Subject4,0.886965,DP,0.482,2.165,0.002,0.988,False
Subject4,0.9097770000000001,CP,-0.024,-0.037,0.0,0.082,False
Subject4,0.9097770000000001,ERP,0.032,2.866,0.008,0.902,False
Subject4,0.9097770000000001,LRP,0.266,-0.002,0.0,0.008,True
Subject4,0.9097770000000001,DP,0.565,2.528,0.001,0.993,False
Subject4,0.937383,CP,-0.021,-0.303,0.0,0.213,True
Subject4,0.937383,ERP,0.073,3.061,0.001,0.984,False
Subject4,0.937383,LRP,0.15,0.055,0.0,0.895,True
Subject4,0.937383,DP,0.642,2.599,0.003,0.986,False
Subject4,0.9438479999999999,CP,-0.022,0.02,0.0,0.023,False
Subject4,0.9438479999999999,ERP,0.055,1.43,0.0,0.986,False
Subject4,0.9438479999999999,LRP,-0.517,5.05,0.001,0.99,False
Subject4,0.9438479999999999,DP,0.533,2.182,0.0,0.999,False
Subject4,0.987518,CP,-0.011,-0.112,0.0,0.051,True
Subject4,0.987518,ERP,0.038,1.588,0.0,0.978,False
Subject4,0.987518,LRP,-0.778,5.815,0.001,0.99,False
Subject4,0.987518,DP,0.372,2.319,0.004,0.981,False
Subject4,1.007758,CP,-0.007,0.141,0.0,0.103,True
Subject4,1.007758,ERP,0.022,1.592,0.001,0.978,False
Subject4,1.007758,LRP,-1.28,6.352,0.0,0.999,False
Subject4,1.007758,DP,0.408,2.119,0.002,0.992,False
Subject4,1.019715,CP,-0.017,-0.217,0.0,0.59,False
Subject4,1.019715,ERP,0.051,2.711,0.005,0.928,False
Subject4,1.019715,LRP,-0.116,4.237,0.0,0.996,False
Subject4,1.019715,DP,0.547,2.157,0.002,0.988,False
Subject4,1.020355,CP,-0.039,0.261,0.0,0.829,False
Subject4,1.020355,ERP,0.048,3.764,0.013,0.886,False
Subject4,1.020355,LRP,0.111,0.094,0.0,0.817,True
Subject4,1.020355,DP,0.634,2.176,0.001,0.993,False
Subject4,1.021772,CP,-0.019,-0.276,0.0,0.584,False
Subject4,1.021772,ERP,0.177,1.881,0.0,0.986,False
Subject4,1.021772,LRP,-0.989,9.628,0.01,0.802,False
Subject4,1.021772,DP,0.666,2.281,0.002,0.988,False
Subject4,1.032633,CP,-0.005,-0.07,0.0,0.138,True
Subject4,1.032633,ERP,0.03,1.917,0.0,0.989,False
Subject4,1.032633,LRP,-1.96,9.82,0.001,0.977,False
Subject4,1.032633,DP,0.464,2.33,0.001,0.996,False
Subject4,1.047597,CP,-0.029,-0.064,0.0,0.13,False
Subject4,1.047597,ERP,0.053,1.068,0.0,0.987,False
Subject4,1.047597,LRP,-0.482,4.994,0.0,0.996,False
Subject4,1.047597,DP,0.553,2.176,0.001,0.997,False
Subject4,1.048813,CP,-0.005,-0.112,0.0,0.436,True
Subject4,1.048813,ERP,-0.084,3.205,0.014,0.916,False
Subject4,1.048813,LRP,0.247,2.634,0.001,0.996,False
Subject4,1.048813,DP,-0.002,-0.068,0.0,0.44,False
Subject4,1.052884,CP,-0.004,-0.037,0.0,0.09,True
Subject4,1.052884,ERP,-0.004,2.884,0.001,0.992,False
Subject4,1.052884,LRP,-1.381,8.653,0.001,0.967,False
Subject4,1.052884,DP,0.465,2.373,0.001,0.993,False
Subject4,1.06237,CP,0.001,2.531,0.0,0.963,False
Subject4,1.06237,ERP,0.077,1.83,0.0,0.983,False
Subject4,1.06237,LRP,-0.196,4.925,0.006,0.903,False
Subject4,1.06237,DP,0.527,2.306,0.001,0.992,False
Subject4,1.067982,CP,-0.007,-0.101,0.0,0.146,True
Subject4,1.067982,ERP,0.033,1.334,0.0,0.989,False
Subject4,1.067982,LRP,-0.683,4.643,0.001,0.989,False
Subject4,1.067982,DP,0.471,1.977,0.002,0.992,False
Subject4,1.0683200000000002,CP,-0.022,1.747,0.004,0.727,False
Subject4,1.0683200000000002,ERP,0.118,2.083,0.0,0.977,False
Subject4,1.0683200000000002,LRP,-1.659,9.338,0.0,0.995,False
Subject4,1.0683200000000002,DP,0.399,2.661,0.002,0.988,False
Subject4,1.141066,CP,-0.011,-0.328,0.0,0.676,False
Subject4,1.141066,ERP,0.096,2.046,0.0,0.987,False
Subject4,1.141066,LRP,-0.581,6.507,0.0,0.996,False
Subject4,1.141066,DP,0.612,2.179,0.001,0.994,False
Subject4,1.2908870000000001,CP,-0.015,-0.272,0.0,0.244,True
Subject4,1.2908870000000001,ERP,0.045,2.177,0.002,0.954,False
Subject4,1.2908870000000001,LRP,-1.117,8.217,0.001,0.973,False
Subject4,1.2908870000000001,DP,0.64,2.24,0.0,0.998,False
Subject4,1.332771,CP,-0.02,-0.207,0.0,0.091,True
Subject4,1.332771,ERP,0.074,3.729,0.002,0.975,False
Subject4,1.332771,LRP,0.114,0.068,0.0,0.766,True
Subject4,1.332771,DP,0.717,2.114,0.0,0.998,False
Subject4,1.403746,CP,-0.031,-0.067,0.0,0.024,False
Subject4,1.403746,ERP,0.25,2.519,0.001,0.974,False
Subject4,1.403746,LRP,-0.428,10.588,0.012,0.635,False
Subject4,1.403746,DP,0.801,2.538,0.0,0.998,False
Subject4,1.468461,CP,-0.016,0.021,0.0,0.014,False
Subject4,1.468461,ERP,0.172,2.183,0.002,0.957,False
Subject4,1.468461,LRP,-1.303,10.45,0.0,0.984,False
Subject4,1.468461,DP,0.823,1.882,0.0,0.999,False
Subject4,1.498009,CP,-0.011,-0.478,0.0,0.802,True
Subject4,1.498009,ERP,0.133,2.375,0.001,0.95,False
Subject4,1.498009,LRP,-0.775,10.726,0.005,0.9,False
Subject4,1.498009,DP,0.833,2.447,0.0,0.999,False
