[2020-08-22 16:31:28.672] [warning] Couldn't find file 'radius_lv.vtp'.
[2020-08-22 16:31:28.672] [warning] Couldn't find file 'pisiform_lvs.vtp'.
[2020-08-22 16:31:28.672] [warning] Couldn't find file 'lunate_lvs.vtp'.
[2020-08-22 16:31:28.672] [warning] Couldn't find file 'scaphoid_lvs.vtp'.
[2020-08-22 16:31:28.672] [warning] Couldn't find file 'triquetrum_lvs.vtp'.
[2020-08-22 16:31:28.672] [warning] Couldn't find file 'hamate_lvs.vtp'.
[2020-08-22 16:31:28.672] [warning] Couldn't find file 'capitate_lvs.vtp'.
[2020-08-22 16:31:28.672] [warning] Couldn't find file 'trapezoid_lvs.vtp'.
[2020-08-22 16:31:28.672] [warning] Couldn't find file 'trapezium_lvs.vtp'.
[2020-08-22 16:31:28.672] [warning] Couldn't find file 'metacarpal2_lvs.vtp'.
[2020-08-22 16:31:28.672] [warning] Couldn't find file 'index_proximal_lvs.vtp'.
[2020-08-22 16:31:28.672] [warning] Couldn't find file 'index_medial_lvs.vtp'.
[2020-08-22 16:31:28.672] [warning] Couldn't find file 'index_distal_lvs.vtp'.
[2020-08-22 16:31:28.672] [warning] Couldn't find file 'metacarpal3_lvs.vtp'.
[2020-08-22 16:31:28.673] [warning] Couldn't find file 'middle_proximal_lvs.vtp'.
[2020-08-22 16:31:28.673] [warning] Couldn't find file 'middle_medial_lvs.vtp'.
[2020-08-22 16:31:28.673] [warning] Couldn't find file 'middle_distal_lvs.vtp'.
[2020-08-22 16:31:28.673] [warning] Couldn't find file 'metacarpal4_lvs.vtp'.
[2020-08-22 16:31:28.673] [warning] Couldn't find file 'ring_proximal_lvs.vtp'.
[2020-08-22 16:31:28.673] [warning] Couldn't find file 'ring_medial_lvs.vtp'.
[2020-08-22 16:31:28.673] [warning] Couldn't find file 'ring_distal_lvs.vtp'.
[2020-08-22 16:31:28.673] [warning] Couldn't find file 'metacarpal5_lvs.vtp'.
[2020-08-22 16:31:28.673] [warning] Couldn't find file 'little_proximal_lvs.vtp'.
[2020-08-22 16:31:28.673] [warning] Couldn't find file 'little_medial_lvs.vtp'.
[2020-08-22 16:31:28.673] [warning] Couldn't find file 'little_distal_lvs.vtp'.
[2020-08-22 16:31:28.673] [warning] Couldn't find file 'metacarpal1_lvs.vtp'.
[2020-08-22 16:31:28.673] [warning] Couldn't find file 'thumb_proximal_lvs.vtp'.
[2020-08-22 16:31:28.673] [warning] Couldn't find file 'thumb_distal_lvs.vtp'.
[2020-08-22 16:31:28.872] [info] Loading marker set from '/home/nikorose/Documents/DJS-GA/C3D/Gait_rawdata_c3d/osim_files_S01/Scale_MarkerSet.xml'.
[2020-08-22 16:31:31.881] [info] Updated markers in model FullBodyModel_MuscleActuatedLowerLimb_TorqueActuatedUpperBody
[2020-08-22 16:31:31.881] [info] Step 2: Scaling generic model
[2020-08-22 16:31:32.003] [error] MarkerData.readStoFile: ERROR- No markers were identified. Markers should appear on consecutive columns as Marker1.x Marker1.y Marker1.z Marker2.x... etc.
