,,Work Absorbed,Work produced,Work Total
S17,T08,0.0304,0.3276,0.358
S18,T08,0.0586,0.2671,0.3257
S19,T08,0.4424,0.2273,0.6697
S20,T08,0.0326,0.2181,0.2507
S21,T08,0.2186,0.4297,0.6483
S22,T08,0.3296,0.2772,0.6068
S23,T08,0.3681,0.3733,0.7414000000000001
S24,T08,0.2757,0.1355,0.4112
S25,T08,0.186,0.158,0.344
S26,T08,0.1308,0.2319,0.3627
S27,T08,0.2181,0.1432,0.36129999999999995
S30,T08,0.2901,0.0509,0.341
S31,T08,0.3123,0.2767,0.589
S33,T08,0.0737,0.2321,0.3058
S34,T08,0.1934,0.1286,0.32199999999999995
S35,T08,0.2391,0.1411,0.3802
S38,T08,0.0647,0.2357,0.3004
S40,T08,-0.0153,0.2746,0.2899
S41,T08,0.2537,0.2588,0.5125
S42,T08,0.0927,0.0919,0.1846
S01,OS,0.1445,0.1036,0.2481
S02,OS,0.0293,0.058,0.0873
S03,OS,0.1603,-0.0173,0.1776
S04,OS,0.3512,0.059,0.4102
S05,OS,0.2248,0.0303,0.2551
S06,OS,0.158,0.0524,0.2104
S07,OS,0.1603,-0.0173,0.1776
S08,OS,0.1934,0.0219,0.2153
S09,OS,0.2211,0.0668,0.2879
S10,OS,0.2192,0.068,0.2872
S11,OS,0.277,0.1204,0.39740000000000003
S12,OS,0.1245,0.0008,0.1253
S13,OS,0.1575,0.0335,0.191
S14,OS,,,
S15,OS,0.2136,0.0766,0.2902
S16,OS,-0.0134,-0.0197,0.0331
S17,OS,0.1345,0.1011,0.2356
S18,OS,0.1972,0.0517,0.24889999999999998
S19,OS,0.2657,0.0657,0.3314
S20,OS,0.189,0.0928,0.2818
S21,OS,0.2217,0.1154,0.3371
S22,OS,0.2134,0.1167,0.3301
S23,OS,0.2524,0.1236,0.376
S24,OS,0.166,0.0577,0.2237
S25,OS,0.1823,0.104,0.2863
S26,OS,0.1794,0.0419,0.2213
S27,OS,0.2472,0.0385,0.2857
S28,OS,0.1434,0.0184,0.1618
S29,OS,0.2798,0.0535,0.3333
S30,OS,0.1985,-0.0373,0.2358
S31,OS,0.2834,0.0525,0.3359
S32,OS,0.212,0.0236,0.2356
S33,OS,0.2558,0.0974,0.3532
S34,OS,0.1913,0.0531,0.2444
S35,OS,0.3481,0.0599,0.40800000000000003
S36,OS,0.2054,0.0244,0.2298
S37,OS,0.2697,0.0357,0.3054
S38,OS,0.2374,0.109,0.3464
S39,OS,0.1957,0.0355,0.23120000000000002
S40,OS,0.1721,0.1134,0.2855
S41,OS,0.1501,0.0382,0.18830000000000002
S01,OC,0.1448,0.1844,0.32920000000000005
S02,OC,0.0486,0.217,0.2656
S03,OC,0.2494,0.0833,0.3327
S04,OC,0.4476,0.1583,0.6059
S05,OC,0.263,0.0967,0.3597
S06,OC,0.1873,0.142,0.3293
S07,OC,0.2494,0.0833,0.3327
S08,OC,0.2719,0.1312,0.4031
S09,OC,0.2243,0.1799,0.4042
S10,OC,0.2607,0.1417,0.4024
S11,OC,0.3185,0.2471,0.5656
S12,OC,0.2398,0.1036,0.34340000000000004
S13,OC,0.2191,0.0764,0.2955
S14,OC,0.1161,0.0199,0.136
S15,OC,0.1733,0.2059,0.3792
S16,OC,0.0775,0.0758,0.1533
S17,OC,0.1594,0.1515,0.31089999999999995
S18,OC,0.181,0.1525,0.3335
S19,OC,0.3287,0.1137,0.4424
S20,OC,0.2029,,
S21,OC,0.2607,0.2877,0.5484
S22,OC,0.3023,0.2282,0.5305
S23,OC,0.2897,0.2215,0.5112
S24,OC,0.1958,0.1165,0.3123
S25,OC,0.1881,0.1402,0.3283
S26,OC,0.2007,0.1566,0.35729999999999995
S27,OC,0.2028,0.1064,0.30920000000000003
S28,OC,0.1826,0.1514,0.334
S29,OC,0.3181,0.1787,0.4968
S30,OC,0.2257,0.0166,0.24230000000000002
S31,OC,0.3248,0.0375,0.36229999999999996
S32,OC,0.2149,0.192,0.40690000000000004
S33,OC,0.2767,0.1291,0.4058
S34,OC,0.1618,0.1202,0.28200000000000003
S35,OC,0.374,0.1211,0.4951
S36,OC,0.2258,0.1269,0.3527
S37,OC,0.2759,0.0551,0.33099999999999996
S38,OC,0.2379,0.1745,0.4124
S39,OC,0.2429,,
S40,OC,0.1617,0.2261,0.38780000000000003
S41,OC,0.1041,0.1292,0.2333
S42,OC,0.2109,0.0898,0.3007
S01,OF,0.0497,0.3421,0.39180000000000004
S02,OF,0.0341,0.3158,0.34990000000000004
S03,OF,0.2284,0.1601,0.38849999999999996
S04,OF,0.5448,,
S05,OF,0.2921,0.1511,0.44320000000000004
S06,OF,0.2237,0.2233,0.447
S07,OF,0.2284,0.1601,0.38849999999999996
S08,OF,0.3791,0.3055,0.6846
S09,OF,0.2091,0.276,0.48510000000000003
S10,OF,0.3534,0.3238,0.6772
S11,OF,0.1902,,
S12,OF,0.2594,0.2183,0.4777
S13,OF,0.2772,0.1273,0.40449999999999997
S14,OF,0.1042,0.1993,0.3035
S16,OF,0.1308,0.1306,0.26139999999999997
S17,OF,0.214,0.2682,0.48219999999999996
S18,OF,0.2028,0.2405,0.4433
S19,OF,0.3573,0.2286,0.5859
S20,OF,0.225,0.2601,0.4851
S21,OF,0.2676,0.2557,0.5233
S22,OF,0.3059,0.2822,0.5881000000000001
S23,OF,0.263,0.3088,0.5718000000000001
S24,OF,0.2192,0.1343,0.35350000000000004
S25,OF,0.2518,0.2489,0.5007
S26,OF,0.1989,0.1998,0.3987
S27,OF,0.0961,0.2064,0.3025
S28,OF,0.1452,0.2086,0.3538
S29,OF,0.3814,0.263,0.6444000000000001
S30,OF,0.2883,0.077,0.3653
S31,OF,0.3316,0.172,0.5036
S32,OF,0.0878,0.3281,0.4159
S33,OF,0.3071,0.2082,0.5153
S34,OF,0.241,0.1723,0.4133
S35,OF,0.4244,0.2199,0.6443
S36,OF,0.3073,0.2148,0.5221
S38,OF,0.2824,0.2783,0.5607
S39,OF,0.2045,0.1653,0.3698
S40,OF,0.0398,0.3281,0.3679
S41,OF,0.0978,0.1749,0.2727
S42,OF,0.0841,0.0825,0.1666
