,,AgeGroup,Age,Height,Mass,Gender,Dominance,LegLength,BorgScale,speed,mode,point 0,point 1,point 2,point 3,point 4,point 5,work abs,work prod,direction,CP,ERP,LRP,DP
S12,T07,Young,24,158.0,48.8,F,R,0.78,12.0,F,Treadmill,0.0,6.0,30.5,45.5,64.0,83.5,0.164,0.116,ccw,-0.603,1.55,11.905,3.795
S12,T08,Young,24,158.0,48.8,F,R,0.78,12.0,VF,Treadmill,0.0,5.5,31.0,44.0,63.0,83.0,0.139,0.186,ccw,-0.623,1.434,16.547,3.826
S13,OC,Young,30,171.0,95.4,M,R,0.85,13.0,C,Overground,0.0,2.0,27.5,47.5,62.0,81.0,0.135,0.076,ccw,-0.02,1.06,7.741,3.996
S13,OF,Young,30,171.0,95.4,M,R,0.85,13.0,F,Overground,0.0,2.0,25.5,46.0,61.5,81.0,0.127,0.127,ccw,-0.016,0.775,9.152,3.911
S13,OS,Young,30,171.0,95.4,M,R,0.85,13.0,S,Overground,0.0,1.0,27.5,45.0,61.0,77.5,0.152,0.035,ccw,0.001,1.199,4.937,3.903
S13,T01,Young,30,171.0,95.4,M,R,0.85,13.0,VS,Treadmill,0.0,3.0,33.5,53.0,67.0,80.0,0.063,0.139,cw,0.752,2.192,1.777,3.566
S13,T02,Young,30,171.0,95.4,M,R,0.85,13.0,VS,Treadmill,0.0,3.0,34.5,50.5,65.0,79.5,0.094,0.092,cw,0.329,1.87,4.963,4.548
S13,T03,Young,30,171.0,95.4,M,R,0.85,13.0,S,Treadmill,0.0,3.0,29.5,48.0,63.0,79.5,0.126,0.067,cw,0.254,1.332,5.446,5.287
S13,T04,Young,30,171.0,95.4,M,R,0.85,13.0,S,Treadmill,0.0,2.0,27.0,49.0,64.0,81.0,0.159,0.013,cw,-0.049,1.119,6.715,4.771
S13,T05,Young,30,171.0,95.4,M,R,0.85,13.0,C,Treadmill,0.0,3.0,25.5,48.0,63.0,81.5,0.171,0.023,ccw,-0.314,1.085,7.722,4.578
S13,T06,Young,30,171.0,95.4,M,R,0.85,13.0,F,Treadmill,0.0,3.5,27.5,48.5,63.0,84.0,0.17,0.049,ccw,-0.635,1.15,9.415,4.579
S13,T07,Young,30,171.0,95.4,M,R,0.85,13.0,F,Treadmill,0.0,3.5,28.5,48.0,63.0,84.5,0.17,0.074,ccw,-0.446,1.064,10.291,4.675
S13,T08,Young,30,171.0,95.4,M,R,0.85,13.0,VF,Treadmill,0.0,4.0,29.5,47.5,62.5,84.0,0.163,0.129,ccw,-0.435,1.239,15.039,5.019
S14,OC,Young,31,153.0,64.95,F,L,0.8,6.0,C,Overground,0.0,6.0,30.5,45.5,68.0,85.5,0.101,0.077,ccw,0.7,1.965,6.61,1.913
S14,OF,Young,31,153.0,64.95,F,L,0.8,6.0,F,Overground,0.0,5.5,22.5,37.5,65.0,83.5,0.06,0.202,ccw,0.889,1.757,9.072,2.09
S14,OS,Young,31,153.0,64.95,F,L,0.8,6.0,S,Overground,0.0,6.0,23.5,47.5,69.0,85.0,0.121,0.051,ccw,0.519,1.266,5.52,1.904
S14,T01,Young,31,153.0,64.95,F,L,0.8,6.0,VS,Treadmill,0.0,3.5,22.5,53.0,70.0,83.0,0.082,0.11,cw,-0.479,2.14,3.217,2.8
