Speed,QS phase,intercept,stiffness
S18_0010_Gait,LRP,16.52094262540986,431.11960533618316
S18_0010_Gait,DP,60.6574500679057,213.33566861506992
S18_0019_Gait,ERP,-6.662772580356506,330.2071136983899
S18_0019_Gait,LRP,6.724738558110005,431.11960533618316
S18_0019_Gait,DP,52.8172652567071,213.33566861506992
S19_0003_Gait,ERP,-0.3022180876246363,117.30780288543993
S19_0003_Gait,LRP,0.6375874063120119,424.3605660678968
S19_0003_Gait,DP,-44.67016953344061,305.7464833074956
S19_0004_Gait,ERP,3.933781977234108,117.30780288543993
S19_0004_Gait,LRP,-57.97713022476411,424.3605660678968
S19_0004_Gait,DP,34.080223160057486,305.7464833074956
S19_0018_Gait,ERP,10.03749350989672,117.30780288543993
S19_0018_Gait,LRP,-44.752906590940114,424.3605660678968
S19_0018_Gait,DP,46.726397220422314,305.7464833074956
S20_0024_Gait,ERP,2.4210596987473263,275.48460195685584
S20_0024_Gait,LRP,0.21941788620959807,453.1108769006978
S20_0024_Gait,DP,47.80175539672171,236.69970365388156
S21_0014_Gait,ERP,-2.7138041836142714,196.75850781829396
S21_0014_Gait,LRP,-66.53609587961358,743.6913852641898
S21_0014_Gait,DP,51.372696383716594,218.06232971271683
S21_0016_Gait,ERP,5.73869521667172,196.75850781829396
S21_0016_Gait,LRP,-55.80785408027351,743.6913852641898
S21_0016_Gait,DP,45.68393424435014,218.06232971271683
S21_0018_Gait,ERP,17.912561956998104,196.75850781829396
S21_0018_Gait,LRP,-21.798708636992675,743.6913852641898
S21_0018_Gait,DP,54.132998004208964,218.06232971271683
S22_0003_Gait,ERP,14.414129465677936,84.05177763140256
S22_0003_Gait,LRP,-41.48731566698669,319.67294234728325
S22_0003_Gait,DP,23.522702800862003,156.08218211448133
S22_0006_Gait,ERP,6.211475930474948,84.05177763140256
S22_0006_Gait,LRP,-37.92626541968036,319.67294234728325
S22_0006_Gait,DP,29.296444005037245,156.08218211448133
S22_0012_Gait,ERP,13.123099594006105,84.05177763140256
S22_0012_Gait,LRP,-47.090505555980215,319.67294234728325
S22_0012_Gait,DP,21.789010757663302,156.08218211448133
S22_0014_Gait,ERP,10.84327222703483,84.05177763140256
