,point 0,point 1,point 2,point 3,point 4
S39_0012_Gait,5,27,49,66,90
S39_0013_Gait,5,21,47,66,83
S39_0015_Gait,5,22,47,65,81
S39_0016_Gait,5,21,49,65,91
S39_0017_Gait,6,24,45,66,88
S39_0018_Gait,5,21,49,66,83
S39_0019_Gait,5,21,48,66,87
S39_0020_Gait,6,30,49,66,82
S39_0021_Gait,6,22,48,66,83
S40_0002_Gait,7,27,46,63,86
S40_0003_Gait,6,28,47,64,90
S40_0006_Gait,5,25,45,63,87
S40_0007_Gait,5,24,44,64,83
S40_0008_Gait,5,26,46,65,94
S40_0009_Gait,5,25,46,64,88
S40_0010_Gait,5,26,45,63,85
S40_0011_Gait,5,26,46,63,93
S40_0012_Gait,5,26,44,62,83
S40_0013_Gait,7,27,47,63,93
S40_0014_Gait,6,22,47,63,80
S40_0015_Gait,5,25,47,63,86
S40_0016_Gait,5,27,45,63,83
S40_0017_Gait,5,29,48,64,86
S40_0018_Gait,6,23,46,63,93
S40_0019_Gait,5,23,48,64,92
S40_0020_Gait,6,25,47,64,93
S40_0021_Gait,5,21,47,63,85
S41_0002_Gait,7,26,48,66,84
S41_0003_Gait,6,30,48,66,82
S41_0004_Gait,7,29,49,66,84
S41_0005_Gait,5,23,49,65,90
S41_0006_Gait,6,24,49,66,94
S41_0007_Gait,6,26,50,66,83
S41_0008_Gait,5,28,49,66,94
S41_0009_Gait,7,26,48,66,89
S41_0010_Gait,6,27,50,66,93
S41_0011_Gait,7,26,50,66,91
S41_0012_Gait,5,25,47,66,82
S41_0013_Gait,7,25,50,66,93
S41_0014_Gait,5,27,50,66,92
S41_0015_Gait,6,24,48,65,93
S41_0016_Gait,6,23,49,66,82
S41_0017_Gait,7,25,49,67,84
S41_0018_Gait,6,25,47,66,83
S41_0019_Gait,7,28,49,65,91
S41_0020_Gait,6,27,49,66,85
S41_0021_Gait,7,27,49,65,94
S42_0002_Gait,5,27,49,66,89
S42_0003_Gait,5,30,48,65,82
S42_0004_Gait,5,26,47,65,82
S42_0005_Gait,6,26,50,66,83
S42_0006_Gait,5,25,47,65,85
S42_0007_Gait,5,31,48,65,83
S42_0009_Gait,5,29,47,64,83
S42_0010_Gait,5,29,48,65,84
S42_0011_Gait,0,6,29,50,81
S42_0012_Gait,5,23,48,66,83
S42_0013_Gait,5,28,49,65,81
S42_0014_Gait,5,24,46,65,91
S42_0015_Gait,5,29,49,66,84
S42_0016_Gait,7,23,47,65,83
S42_0017_Gait,6,27,47,65,83
S42_0018_Gait,5,27,47,65,82
S42_0019_Gait,5,28,48,65,86
S42_0020_Gait,5,23,48,66,88
