,,,,intercept,stiffness,MSE,R2,inverted
TF05,contralateral,0.131,LRP,0.2908733081522114,3.0759793665966226,0.00289078108175961,0.8639232392372123,False
TF05,contralateral,0.131,DP,0.43416382531666264,1.727380754530614,0.00018063116173533677,0.9976038197087518,False
TF05,contralateral,0.163,CP,-0.02484198448791769,0.5414274084169631,1.740491266898356e-05,0.7790194727031413,False
TF05,contralateral,0.163,ERP,0.11046647341424765,3.8891299221383098,0.0001563419244916325,0.9847073795151553,False
TF05,contralateral,0.163,LRP,0.23768319445298208,3.7323947792187013,0.0011294282658559857,0.9672709166977663,False
TF05,contralateral,0.163,DP,0.5103703303681588,2.0451270676247773,0.00023178187267461662,0.9979763085375041,False
TF05,contralateral,0.196,CP,-0.014378355687933313,0.762581867457779,2.756806948158764e-06,0.985752816547851,False
TF05,contralateral,0.196,ERP,0.15813575175915578,4.626593821271472,0.00044039413391133876,0.9861818961691452,False
TF05,contralateral,0.196,LRP,0.19292574068321688,4.546563715787673,0.00013993031718838498,0.9950583243286552,False
TF05,contralateral,0.196,DP,0.6185837745552745,2.2516974444627813,0.0001649486080737668,0.9988482830181833,False
TF05,contralateral,0.229,CP,-0.050948536575635514,0.5403281332026456,7.684679874039577e-05,0.7087318085947574,False
TF05,contralateral,0.229,ERP,0.23034592186775316,4.238385861259351,0.0003703233211126242,0.9895413619330806,False
TF05,contralateral,0.229,LRP,0.1250155261202458,5.825762722461913,0.0001166492642095713,0.9965946356876193,False
TF05,contralateral,0.229,DP,0.7448230065272852,2.394142463997587,0.00020872019435565423,0.9988253806994927,False
TF05,contralateral,0.262,CP,-0.05575401959134133,0.42288154049912446,8.471041793720892e-05,0.6464088998919629,False
TF05,contralateral,0.262,ERP,0.2802608624175132,3.7346695149156495,2.2269081914724996e-05,0.9981045305166023,False
TF05,contralateral,0.262,LRP,0.27013808610185486,6.015449694057753,0.0003837144138365514,0.9943793244811014,False
TF05,contralateral,0.262,DP,0.8506172052502767,2.5759602198807934,0.00022696637380989536,0.9988049979994102,False
TF06,ipsilateral,0.129,CP,-0.02270351348861179,1.5259394060983607,3.418573991850797e-05,0.9094593322502575,False
TF06,ipsilateral,0.129,ERP,0.09489023498458754,3.7922806086304233,0.00022072174657624286,0.995597102725062,False
TF06,ipsilateral,0.129,LRP,-0.1323077127196855,4.94533072567525,0.0006012044111987092,0.9897816300359024,False
TF06,ipsilateral,0.161,CP,-0.010281798942840197,1.7886718181875945,1.7021526073637284e-05,0.9683565081253629,False
TF06,ipsilateral,0.161,ERP,0.07738465620042376,3.5639947763825357,8.66718656947513e-05,0.9981761912218404,False
TF06,ipsilateral,0.161,LRP,-0.12325565434978453,4.613371631004396,0.0005962309441933177,0.9874607656285619,False
TF06,ipsilateral,0.193,CP,0.0006078869697432876,2.1810210890286923,2.1772529875791167e-05,0.983259471323301,False
TF06,ipsilateral,0.193,ERP,0.10516762674885102,3.6757749110331575,9.15787253433292e-05,0.9988872350240643,False
TF06,ipsilateral,0.193,LRP,-0.16624673197447426,4.78827606489027,0.0012094980256018074,0.9875499291573284,False
